iter	Passed	Remaining
402	9114	13502
403	9136	13477
404	9156	13452
405	9178	13428
406	9199	13404
407	9220	13379
408	9240	13352
409	9260	13325
410	9279	13298
411	9299	13272
412	9319	13245
413	9338	13218
414	9362	13198
415	9382	13171
416	9401	13144
417	9421	13117
418	9485	13152
419	9514	13138
420	9543	13124
421	9572	13110
422	9603	13099
423	9629	13081
424	9653	13061
425	9680	13044
426	9716	13038
427	9744	13022
428	9770	13004
429	9818	13015
430	9860	13017
431	9888	13001
432	9921	12991
433	9956	12985
434	9976	12958
435	9996	12930
436	10015	12903
437	10035	12876
438	10055	12849
439	10074	12822
440	10094	12795
441	10113	12768
442	10133	12741
443	10152	12714
444	10172	12687
445	10191	12659
446	10211	12633
447	10231	12606
448	10250	12579
449	10270	12552
450	10290	12526
451	10310	12499
452	10329	12472
453	10349	12446
454	10369	12420
455	10388	12393
456	10407	12366
457	10426	12339
458	10446	12312
459	10466	12286
460	10485	12259
461	10505	12233
462	10526	12208
463	10546	12182
464	10566	12157
465	10586	12131
466	10606	12104
467	10627	12080
468	10647	12054
469	10667	12028
470	10687	12003
471	10706	11976
472	10726	11950
473	10745	11924
474	10765	11898
475	10785	11872
476	10804	11846
477	10824	11820
478	10843	11794
479	10863	11768
480	10882	11742
481	10902	11716
482	10921	11690
483	10941	11664
484	10963	11641
485	10985	11618
486	11005	11593
487	11025	11567
488	11044	11541
489	11064	11515
490	11083	11489
491	11102	11463
492	11122	11438
493	11142	11413
494	11162	11387
495	11181	11362
496	11201	11336
497	11220	11310
498	11240	11285
499	11259	11259
500	11278	11233
501	11298	11208
502	11318	11183
503	11337	11157
504	11357	11132
505	11377	11107
506	11396	11081
507	11415	11056
508	11434	11030
509	11454	11005
510	11473	10979
511	11493	10954
512	11512	10929
513	11532	10904
514	11551	10879
515	11571	10853
516	11592	10830
517	11612	10805
518	11632	10780
519	11651	10755
520	11670	10730
521	11690	10704
522	11709	10679
523	11728	10654
524	11748	10629
525	11767	10604
526	11787	10579
527	11806	10554
528	11826	10529
529	11845	10504
530	11865	10479
531	11884	10454
532	11903	10429
533	11922	10404
534	11942	10380
535	11962	10355
536	11981	10330
537	12001	10305
538	12021	10281
539	12040	10256
540	12060	10232
541	12079	10207
542	12099	10182
543	12120	10159
544	12142	10136
545	12164	10115
546	12185	10091
547	12205	10067
548	12226	10043
549	12246	10019
550	12266	9995
551	12286	9971
552	12306	9947
553	12325	9922
554	12345	9898
555	12365	9874
556	12384	9850
557	12404	9825
558	12423	9801
559	12443	9776
560	12463	9752
561	12482	9728
562	12502	9704
563	12522	9680
564	12543	9657
565	12563	9633
566	12583	9609
567	12602	9585
568	12622	9561
569	12642	9537
570	12662	9513
571	12681	9489
572	12702	9465
573	12722	9442
574	12743	9419
575	12763	9395
576	12784	9372
577	12804	9348
578	12824	9324
579	12844	9301
580	12864	9277
581	12884	9253
582	12904	9230
583	12925	9207
584	12945	9183
585	12965	9159
586	12984	9135
587	13004	9112
588	13024	9088
589	13044	9064
590	13063	9040
591	13083	9016
592	13102	8992
593	13122	8968
594	13141	8945
595	13161	8921
596	13180	8897
597	13200	8873
598	13219	8849
599	13239	8826
600	13258	8802
601	13278	8778
602	13298	8755
603	13318	8731
604	13337	8708
605	13357	8684
606	13376	8660
607	13396	8636
608	13415	8613
609	13435	8589
610	13454	8566
611	13474	8542
612	13493	8518
613	13513	8495
614	13532	8471
615	13551	8447
616	13571	8424
617	13590	8400
618	13610	8377
619	13630	8354
620	13651	8331
621	13671	8308
622	13692	8286
623	13713	8263
624	13734	8240
625	13758	8220
626	13779	8197
627	13799	8174
628	13820	8151
629	13841	8129
630	13861	8106
631	13881	8083
632	13902	8060
633	13922	8037
634	13942	8014
635	13963	7991
636	13983	7968
637	14004	7946
638	14024	7923
639	14045	7900
640	14065	7877
641	14087	7855
642	14109	7833
643	14130	7811
644	14159	7793
645	14180	7770
646	14202	7748
647	14223	7726
648	14244	7703
649	14265	7681
650	14286	7658
651	14306	7636
652	14327	7613
653	14347	7590
654	14368	7568
655	14389	7545
656	14410	7523
657	14432	7501
658	14453	7478
659	14474	7456
660	14494	7433
661	14515	7411
662	14536	7388
663	14557	7366
664	14578	7344
665	14599	7321
666	14620	7299
667	14641	7276
668	14664	7255
669	14686	7233
670	14708	7211
671	14730	7189
672	14751	7167
673	14772	7144
674	14792	7122
675	14813	7099
676	14833	7077
677	14855	7055
678	14875	7032
679	14895	7009
680	14915	6987
681	14936	6964
682	14957	6942
683	14977	6919
684	14997	6896
685	15017	6873
686	15038	6851
