iter	Logloss
0	0.4012996962
1	0.2697192818
2	0.1817502408
3	0.1407252059
4	0.11788165
5	0.1013731086
6	0.09086658184
7	0.08050175563
8	0.07338309692
9	0.06908664414
10	0.06643536393
11	0.0626884008
12	0.05974130464
13	0.05612985398
14	0.05394747209
15	0.0503829324
16	0.04821660988
17	0.04606049391
18	0.04427443567
19	0.04295728563
20	0.0411188583
21	0.03993270079
22	0.03862335199
23	0.03753628442
24	0.03639785398
25	0.03517710213
26	0.0340754751
27	0.03306662423
28	0.03199441149
29	0.03105946571
30	0.03033578635
31	0.02958381669
32	0.02866403478
33	0.02761620586
34	0.02660735218
35	0.02601065828
36	0.02504807613
37	0.02455460999
38	0.0234209594
39	0.02270849788
40	0.02203906246
41	0.02137249511
42	0.02099773541
43	0.02054794468
44	0.01995253845
45	0.01960818082
46	0.0191831274
47	0.01886106423
48	0.01853927717
49	0.01823959299
50	0.01785865993
51	0.01746572645
52	0.01709824805
53	0.01669502702
54	0.01640508648
55	0.01609008874
56	0.0157783777
57	0.01528707329
58	0.01485990652
59	0.01446478705
60	0.0141902308
61	0.01397043335
62	0.01377278728
63	0.01350915732
64	0.01311103184
65	0.01276947823
66	0.01236483477
67	0.0122180812
68	0.01182971995
69	0.01140252958
70	0.01123448985
71	0.01103407868
72	0.01075482775
73	0.01060015785
74	0.01039857427
75	0.01022521233
76	0.01008698318
77	0.009916464535
78	0.009777359477
79	0.00957553669
80	0.009203910203
81	0.009115116484
82	0.0088499251
83	0.008673952241
84	0.008434146242
85	0.00829364994
86	0.008052357892
87	0.007974614757
88	0.007833169501
89	0.007741362239
90	0.007624933083
91	0.00753081696
92	0.007382316597
93	0.007290625781
94	0.007170002216
95	0.007005669829
96	0.006860543006
97	0.006716265885
98	0.006653414744
99	0.006595846641
100	0.006491539416
101	0.006295564641
102	0.006182065177
103	0.00604285558
104	0.006001582993
105	0.005914306739
106	0.005813816434
107	0.005701869148
108	0.005683041559
109	0.005665180291
110	0.005567267868
111	0.005478430549
112	0.005340739766
113	0.005278903597
114	0.005168452152
115	0.005061237772
116	0.005007522065
117	0.004991719343
118	0.004861341867
119	0.004810787723
120	0.004715352132
121	0.004678567812
122	0.004623661845
123	0.004609722008
124	0.00456052889
125	0.004458856405
126	0.004428489687
127	0.004428449585
128	0.004331713856
129	0.004331567737
130	0.004331553342
131	0.004331410236
132	0.004316200402
133	0.004257650516
134	0.004190682721
135	0.0041550858
136	0.004144301297
137	0.004106006715
138	0.004083480407
139	0.004045239527
140	0.003996240807
141	0.003964546058
142	0.003924522676
143	0.00382457503
144	0.003801435923
145	0.003801435923
146	0.003780572908
147	0.003698780246
148	0.003698780246
149	0.00365171538
150	0.00365171538
151	0.00365171538
152	0.00365171538
153	0.00365171538
154	0.00365171538
155	0.00365171538
156	0.00365171538
157	0.00365171538
158	0.00365171538
159	0.00365171538
160	0.00365171538
161	0.00365171538
162	0.00365171538
163	0.00365171538
164	0.00365171538
165	0.00365171538
166	0.00365171538
167	0.00365171538
168	0.00365171538
169	0.00365171538
170	0.00365171538
171	0.00365171538
172	0.00365171538
173	0.00365171538
174	0.00365171538
175	0.00365171538
176	0.00365171538
177	0.00365171538
178	0.00365171538
179	0.00365171538
180	0.00365171538
181	0.00365171538
182	0.00365171538
183	0.00365171538
184	0.00365171538
185	0.00365171538
186	0.00365171538
187	0.00365171538
188	0.00365171538
189	0.00365171538
190	0.00365171538
191	0.00365171538
192	0.00365171538
193	0.00365171538
194	0.00365171538
195	0.00365171538
196	0.00365171538
197	0.00365171538
198	0.00365171538
199	0.00365171538
200	0.00365171538
201	0.00365171538
202	0.00365171538
203	0.00365171538
204	0.00365171538
205	0.00365171538
206	0.00365171538
207	0.00365171538
208	0.00365171538
209	0.00365171538
210	0.00365171538
211	0.00365171538
212	0.00365171538
213	0.00365171538
214	0.00365171538
215	0.00365171538
216	0.00365171538
217	0.00365171538
218	0.00365171538
219	0.00365171538
220	0.00365171538
221	0.00365171538
222	0.00365171538
223	0.00365171538
224	0.00365171538
225	0.00365171538
226	0.00365171538
227	0.00365171538
228	0.00365171538
229	0.00365171538
230	0.00365171538
231	0.00365171538
232	0.00365171538
233	0.00365171538
234	0.00365171538
235	0.00365171538
236	0.00365171538
237	0.00365171538
238	0.00365171538
239	0.003633496337
240	0.003633496337
241	0.003633496337
242	0.003633496337
243	0.003633496337
244	0.003633496337
245	0.003633496337
246	0.003633496337
247	0.003633496337
248	0.003633496337
249	0.003633496337
250	0.003633496337
251	0.003633496337
252	0.003633496337
253	0.003633496337
254	0.003633496337
255	0.003633496337
256	0.003633496337
257	0.003633496337
258	0.003633496337
259	0.003633496337
260	0.003633496337
261	0.003633496337
262	0.003633496337
263	0.003633496337
264	0.003633496337
265	0.003633496337
266	0.003633496337
267	0.003633496337
268	0.003633496337
269	0.003633496337
270	0.003633496337
271	0.003633496337
272	0.003633496337
273	0.003633496337
274	0.003633496337
275	0.003633496337
276	0.003633496337
277	0.003633496337
278	0.003633496337
279	0.003633496337
280	0.003633496337
281	0.003633496337
282	0.003633496337
283	0.003633496337
284	0.003633496337
285	0.003633496337
286	0.003633496337
287	0.003633496337
288	0.003633496337
289	0.003633496337
290	0.003633496337
291	0.003633496337
292	0.003633496337
293	0.003633496337
294	0.003633496337
295	0.003633496337
296	0.003633496337
297	0.003633496337
298	0.003633496337
299	0.003633496337
300	0.003633496337
301	0.003633496337
302	0.003633496337
303	0.003633496337
304	0.003633496337
305	0.003633496337
306	0.003633496337
307	0.003633496337
308	0.003633496337
309	0.003633496337
310	0.003633496337
311	0.003633496337
312	0.003633496337
313	0.003633496337
314	0.003633496337
315	0.003633496337
316	0.003633496337
317	0.003633496337
318	0.003633496337
319	0.003633496337
320	0.003633496337
321	0.003633496337
322	0.003633496337
323	0.003633496337
324	0.003633496337
325	0.003633496337
326	0.003633496337
327	0.003633496337
328	0.003633496337
329	0.003633496337
330	0.003633496337
331	0.003633496337
332	0.003633496337
333	0.003633496337
334	0.003633496337
335	0.003633496337
336	0.003633496337
337	0.003633496337
338	0.003633496337
339	0.003633496337
340	0.003633496337
341	0.003633496337
342	0.003633496337
343	0.003633496337
344	0.003633496337
345	0.003633496337
346	0.003633496337
347	0.003633496337
348	0.003633496337
349	0.003633496337
350	0.003633496337
351	0.003633496337
352	0.003633496337
353	0.003633496337
354	0.003633496337
355	0.003633496337
356	0.003633496337
357	0.003633496337
358	0.003633496337
359	0.003633496337
360	0.003633496337
361	0.003633496337
362	0.003633496337
363	0.003633496337
364	0.003633496337
365	0.003633496337
366	0.003633496337
367	0.003633496337
368	0.003633496337
369	0.003633496337
370	0.003633496337
371	0.003633496337
372	0.003633496337
373	0.003633496337
374	0.003633496337
375	0.003633496337
